city,county,state,population
Adelanto,San Bernardino,California,"31,765"
Agoura Hills,Los Angeles,California,"20,330"
Alameda,Alameda,California,"73,812"
Albany,Alameda,California,"18,539"
Alhambra,Los Angeles,California,"83,089"
Aliso Viejo,Orange,California,"47,823"
Alturas,Modoc,California,"2,827"
Amador City,Amador,California,185
American Canyon,Napa,California,"19,454"
Anaheim,Orange,California,"336,265"
Anderson,Shasta,California,"9,932"
Angels Camp,Calaveras,California,"3,836"
Antioch,Contra Costa,California,"102,372"
Apple Valley,San Bernardino,California,"69,135"
Arcadia,Los Angeles,California,"56,364"
Arcata,Humboldt,California,"17,231"
Arroyo Grande,San Luis Obispo,California,"17,252"
Artesia,Los Angeles,California,"16,522"
Arvin,Kern,California,"19,304"
Atascadero,San Luis Obispo,California,"28,310"
Atherton,San Mateo,California,"6,914"
Atwater,Merced,California,"28,168"
Auburn,Placer,California,"13,330"
Avalon,Los Angeles,California,"3,728"
Avenal,Kings,California,"15,505"
Azusa,Los Angeles,California,"46,361"
Bakersfield,Kern,California,"347,483"
Baldwin Park,Los Angeles,California,"75,390"
Banning,Riverside,California,"29,603"
Barstow,San Bernardino,California,"22,639"
Beaumont,Riverside,California,"36,877"
Bell,Los Angeles,California,"35,477"
Bell Gardens,Los Angeles,California,"42,072"
Bellflower,Los Angeles,California,"76,616"
Belmont,San Mateo,California,"25,835"
Belvedere,Marin,California,"2,068"
Benicia,Solano,California,"26,997"
Berkeley,Alameda,California,"112,580"
Beverly Hills,Los Angeles,California,"34,109"
Big Bear Lake,San Bernardino,California,"5,019"
Biggs,Butte,California,"1,707"
Bishop,Inyo,California,"3,879"
Blue Lake,Humboldt,California,"1,253"
Blythe,Riverside,California,"20,817"
Bradbury,Los Angeles,California,"1,048"
Brawley,Imperial,California,"24,953"
Brea,Orange,California,"39,282"
Brentwood,Contra Costa,California,"51,481"
Brisbane,San Mateo,California,"4,282"
Buellton,Santa Barbara,California,"4,828"
Buena Park,Orange,California,"80,530"
Burbank,Los Angeles,California,"103,340"
Burlingame,San Mateo,California,"28,806"
Calabasas,Los Angeles,California,"23,058"
Calexico,Imperial,California,"38,572"
California City,Kern,California,"14,120"
Calimesa,Riverside,California,"7,879"
Calipatria,Imperial,California,"7,705"
Calistoga,Napa,California,"5,155"
Camarillo,Ventura,California,"65,201"
Campbell,Santa Clara,California,"39,349"
Canyon Lake,Riverside,California,"10,561"
Capitola,Santa Cruz,California,"9,918"
Carlsbad,San Diego,California,"105,328"
Carmel-by-the-Sea,Monterey,California,"3,722"
Carpinteria,Santa Barbara,California,"13,040"
Carson,Los Angeles,California,"91,714"
Cathedral City,Riverside,California,"51,200"
Ceres,Stanislaus,California,"45,417"
Cerritos,Los Angeles,California,"49,041"
Chico,Butte,California,"86,187"
Chino,San Bernardino,California,"77,983"
Chino Hills,San Bernardino,California,"74,799"
Chowchilla,Madera,California,"18,720"
Chula Vista,San Diego,California,"243,916"
Citrus Heights,Sacramento,California,"83,301"
Claremont,Los Angeles,California,"34,926"
Clayton,Contra Costa,California,"10,897"
Clearlake,Lake,California,"15,250"
Cloverdale,Sonoma,California,"8,618"
Clovis,Fresno,California,"95,631"
Coachella,Riverside,California,"40,704"
Coalinga,Fresno,California,"13,380"
Colfax,Placer,California,"1,963"
Colma,San Mateo,California,"1,792"
Colton,San Bernardino,California,"52,154"
Colusa,Colusa,California,"5,971"
Commerce,Los Angeles,California,"12,823"
Compton,Los Angeles,California,"96,455"
Concord,Contra Costa,California,"122,067"
Corcoran,Kings,California,"24,813"
Corning,Tehama,California,"7,663"
Corona,Riverside,California,"152,374"
Coronado,San Diego,California,"24,697"
Corte Madera,Marin,California,"9,253"
Costa Mesa,Orange,California,"109,960"
Cotati,Sonoma,California,"7,265"
Covina,Los Angeles,California,"47,796"
Crescent City,Del Norte,California,"7,643"
Cudahy,Los Angeles,California,"23,805"
Culver City,Los Angeles,California,"38,883"
Cupertino,Santa Clara,California,"58,302"
Cypress,Orange,California,"47,802"
Daly City,San Mateo,California,"101,123"
Dana Point,Orange,California,"33,351"
Danville,Contra Costa,California,"42,039"
Davis,Yolo,California,"65,622"
Del Mar,San Diego,California,"4,161"
Del Rey Oaks,Monterey,California,"1,624"
Delano,Kern,California,"53,041"
Desert Hot Springs,Riverside,California,"25,938"
Diamond Bar,Los Angeles,California,"55,544"
Dinuba,Tulare,California,"21,453"
Dixon,Solano,California,"18,351"
Dorris,Siskiyou,California,939
Dos Palos,Merced,California,"4,950"
Downey,Los Angeles,California,"111,772"
Duarte,Los Angeles,California,"21,321"
Dublin,Alameda,California,"46,036"
Dunsmuir,Siskiyou,California,"1,650"
East Palo Alto,San Mateo,California,"28,155"
Eastvale,Riverside,California,53670
El Cajon,San Diego,California,"99,478"
El Centro,Imperial,California,"42,598"
El Cerrito,Contra Costa,California,"23,549"
El Monte,Los Angeles,California,"113,475"
El Segundo,Los Angeles,California,"16,654"
Elk Grove,Sacramento,California,"153,015"
Emeryville,Alameda,California,"10,080"
Encinitas,San Diego,California,"59,518"
Escalon,San Joaquin,California,"7,132"
Escondido,San Diego,California,"143,911"
Etna,Siskiyou,California,737
Eureka,Humboldt,California,"27,191"
Exeter,Tulare,California,"10,334"
Fairfax,Marin,California,"7,441"
Fairfield,Solano,California,"105,321"
Farmersville,Tulare,California,"10,588"
Ferndale,Humboldt,California,"1,371"
Fillmore,Ventura,California,"15,002"
Firebaugh,Fresno,California,"7,549"
Folsom,Sacramento,California,"72,203"
Fontana,San Bernardino,California,"196,069"
Fort Bragg,Mendocino,California,"7,273"
Fort Jones,Siskiyou,California,839
Fortuna,Humboldt,California,"11,926"
Foster City,San Mateo,California,"30,567"
Fountain Valley,Orange,California,"55,313"
Fowler,Fresno,California,"5,570"
Fremont,Alameda,California,"214,089"
Fresno,Fresno,California,"494,665"
Fullerton,Orange,California,"135,161"
Galt,Sacramento,California,"23,647"
Garden Grove,Orange,California,"170,883"
Gardena,Los Angeles,California,"58,829"
Gilroy,Santa Clara,California,"48,821"
Glendale,Los Angeles,California,"191,719"
Glendora,Los Angeles,California,"50,073"
Goleta,Santa Barbara,California,"29,888"
Gonzales,Monterey,California,"8,187"
Grand Terrace,San Bernardino,California,"12,040"
Grass Valley,Nevada,California,"12,860"
Greenfield,Monterey,California,"16,330"
Gridley,Butte,California,"6,584"
Grover Beach,San Luis Obispo,California,"13,156"
Guadalupe,Santa Barbara,California,"7,080"
Gustine,Merced,California,"5,520"
Half Moon Bay,San Mateo,California,"11,324"
Hanford,Kings,California,"53,967"
Hawaiian Gardens,Los Angeles,California,"14,254"
Hawthorne,Los Angeles,California,"84,293"
Hayward,Alameda,California,"144,186"
Healdsburg,Sonoma,California,"11,254"
Hemet,Riverside,California,"78,657"
Hercules,Contra Costa,California,"24,060"
Hermosa Beach,Los Angeles,California,"19,506"
Hesperia,San Bernardino,California,"90,173"
Hidden Hills,Los Angeles,California,"1,856"
Highland,San Bernardino,California,"53,104"
Hillsborough,San Mateo,California,"10,825"
