id,label,parent_label,label_manual,parent_label_manual
714,Abies,Plant,NULL,NULL
715,Abies,Tree,NULL,NULL
169574,Absinthe,Alcohol,NULL,NULL
169582,Absinthe,Beverage,NULL,NULL
169578,Absinthe,Liquor,NULL,NULL
2687,Abyssinian,Animal,NULL,NULL
2686,Abyssinian,Cat,NULL,NULL
2684,Abyssinian,Mammal,NULL,NULL
2685,Abyssinian,Pet,NULL,NULL
19914,Acanthaceae,Flower,NULL,NULL
19919,Acanthaceae,Plant,NULL,NULL
19838,Accipiter,Animal,NULL,NULL
19839,Accipiter,Bird,NULL,NULL
137116,Accordion,Musical Instrument,NULL,NULL
25119,Acrobatic,Person,NULL,NULL
263,Adventure,Leisure Activities,Outdoors,NULL
11839,Aerial View,Landscape,Outdoors,NULL
11841,Aerial View,Nature,Outdoors,NULL
11847,Aerial View,Outdoors,Outdoors,NULL
11844,Aerial View,Scenery,Outdoors,NULL
25412,Affenpinscher,Animal,NULL,NULL
25398,Affenpinscher,Canine,NULL,NULL
25408,Affenpinscher,Dog,NULL,NULL
25404,Affenpinscher,Mammal,NULL,NULL
25401,Affenpinscher,Pet,NULL,NULL
150693,African Grey Parrot,Animal,NULL,NULL
150690,African Grey Parrot,Bird,NULL,NULL
150687,African Grey Parrot,Parrot,NULL,NULL
64645,Aftershave,Bottle,Indoors,NULL
64644,Aftershave,Cosmetics,NULL,NULL
35573,Agapanthus,Flower,NULL,NULL
35575,Agapanthus,Plant,NULL,NULL
9413,Agaric,Fungus,NULL,NULL
9416,Agaric,Mushroom,NULL,NULL
9419,Agaric,Plant,NULL,NULL
162668,Agate,Accessories,NULL,NULL
162672,Agate,Gemstone,NULL,NULL
162663,Agate,Jewelry,NULL,NULL
162676,Agate,Ornament,NULL,NULL
1289,Agavaceae,Plant,NULL,NULL
52978,Agelaius,Animal,NULL,NULL
52982,Agelaius,Bird,NULL,NULL
3613,Agriculture,Countryside,Outdoors,Outdoors
3614,Agriculture,Field,Outdoors,Outdoors
3616,Agriculture,Nature,Outdoors,Outdoors
3615,Agriculture,Outdoors,Outdoors,Outdoors
148405,Agropyron,Grass,NULL,Outdoors
148399,Agropyron,Lawn,NULL,Outdoors
148392,Agropyron,Plant,NULL,NULL
2563,Aircraft,Transportation,Outdoors,Outdoors
2562,Aircraft,Vehicle,Outdoors,Outdoors
188171,Aircraft Carrier,Military,Outdoors,NULL
188170,Aircraft Carrier,Navy,Outdoors,NULL
188174,Aircraft Carrier,Ship,Outdoors,NULL
188172,Aircraft Carrier,Transportation,Outdoors,NULL
188173,Aircraft Carrier,Vehicle,Outdoors,NULL
15512,Airedale,Animal,NULL,NULL
15515,Airedale,Canine,NULL,NULL
15518,Airedale,Dog,NULL,NULL
15521,Airedale,Mammal,NULL,NULL
15524,Airedale,Pet,NULL,NULL
15527,Airedale,Terrier,NULL,NULL
9954,Airfield,Airport,Outdoors,Outdoors
2569,Airliner,Aircraft,Outdoors,Outdoors
2571,Airliner,Airplane,NULL,NULL
2570,Airliner,Transportation,NULL,NULL
2568,Airliner,Vehicle,NULL,NULL
187874,Airmail,Envelope,NULL,NULL
187871,Airmail,Mail,NULL,NULL
2565,Airplane,Aircraft,NULL,NULL
2566,Airplane,Transportation,NULL,NULL
2564,Airplane,Vehicle,NULL,NULL
234064,Aisle,Indoors,NULL,NULL
40029,Alarm Clock,Clock,NULL,NULL
146320,Albatross,Animal,NULL,NULL
146324,Albatross,Bird,NULL,NULL
180,Alcohol,Beverage,NULL,NULL
274637,Alcyonacea,Animal,NULL,NULL
274631,Alcyonacea,Coral Reef,NULL,NULL
274624,Alcyonacea,Invertebrate,NULL,NULL
274635,Alcyonacea,Nature,NULL,NULL
274633,Alcyonacea,Outdoors,NULL,NULL
274623,Alcyonacea,Reef,NULL,NULL
274625,Alcyonacea,Sea,NULL,NULL
274627,Alcyonacea,Sea Life,NULL,NULL
274629,Alcyonacea,Water,NULL,NULL
51618,Algae,Plant,NULL,NULL
21408,Alley,Building,NULL,NULL
21413,Alley,City,NULL,NULL
21417,Alley,Road,NULL,NULL
21405,Alley,Street,NULL,NULL
21420,Alley,Urban,NULL,NULL
21389,Alleyway,Building,NULL,NULL
21392,Alleyway,City,NULL,NULL
21396,Alleyway,Road,NULL,NULL
21385,Alleyway,Street,NULL,NULL
21401,Alleyway,Urban,NULL,NULL
143430,Alligator,Animal,NULL,NULL
143435,Alligator,Reptile,NULL,NULL
40316,Allium,Flower,NULL,NULL
40314,Allium,Plant,NULL,NULL
2322,Alloy Wheel,Machine,NULL,NULL
2321,Alloy Wheel,Spoke,NULL,NULL
2323,Alloy Wheel,Wheel,NULL,NULL
1290,Aloe,Plant,NULL,NULL
11036,Alpaca,Animal,NULL,NULL
11032,Alpaca,Mammal,NULL,NULL
280,Alphabet,Text,NULL,NULL
27609,Altar,Architecture,NULL,NULL
27605,Altar,Building,NULL,NULL
27607,Altar,Church,NULL,NULL
9428,Amanita,Agaric,NULL,NULL
9422,Amanita,Fungus,NULL,NULL
9425,Amanita,Mushroom,NULL,NULL
9431,Amanita,Plant,NULL,NULL
104465,Amaranthaceae,Grass,NULL,NULL
104464,Amaranthaceae,Lawn,NULL,NULL
104463,Amaranthaceae,Plant,NULL,NULL
12772,Amaryllidaceae,Flower,NULL,NULL
12771,Amaryllidaceae,Plant,NULL,NULL
23810,Amaryllis,Flower,NULL,NULL
23813,Amaryllis,Plant,NULL,NULL
40290,Ambulance,Transportation,NULL,NULL
40287,Ambulance,Van,NULL,NULL
40292,Ambulance,Vehicle,NULL,NULL
265,American Flag,Flag,NULL,NULL
264,American Flag,Symbol,NULL,NULL
16386,American Football,Football,NULL,NULL
16384,American Football,People,NULL,NULL
16390,American Football,Person,NULL,NULL
16388,American Football,Sport,NULL,NULL
16380,American Football,Team,NULL,NULL
16376,American Football,Team Sport,NULL,NULL
43626,Amethyst,Accessories,NULL,NULL
43628,Amethyst,Gemstone,NULL,NULL
43625,Amethyst,Jewelry,NULL,NULL
43627,Amethyst,Ornament,NULL,NULL
368052,Ammunition,Weapon,NULL,NULL
3799,Ampersand,Alphabet,NULL,NULL
3797,Ampersand,Symbol,NULL,NULL
3798,Ampersand,Text,NULL,NULL
18860,Amphibian,Animal,NULL,NULL
18866,Amphibian,Wildlife,NULL,NULL
12776,Amphibious Vehicle,Transportation,NULL,NULL
12775,Amphibious Vehicle,Vehicle,NULL,NULL
123791,Amphiprion,Animal,NULL,NULL
123790,Amphiprion,Fish,NULL,NULL
123789,Amphiprion,Sea Life,NULL,NULL
16471,Amplifier,Electronics,NULL,NULL
9104,Anaconda,Animal,NULL,NULL
9106,Anaconda,Reptile,NULL,NULL
9101,Anaconda,Snake,NULL,NULL
40034,Analog Clock,Clock,NULL,NULL
7954,Andalusian Horse,Animal,NULL,NULL
7953,Andalusian Horse,Horse,NULL,NULL
7955,Andalusian Horse,Mammal,NULL,NULL
2352,Andrena,Animal,NULL,NULL
2353,Andrena,Bee,NULL,NULL
2354,Andrena,Insect,NULL,NULL
2355,Andrena,Invertebrate,NULL,NULL
4149,Anemone,Flower,NULL,NULL
4150,Anemone,Plant,NULL,NULL
21983,Angel,Art,NULL,NULL
157136,Angelfish,Animal,NULL,NULL
157131,Angelfish,Fish,NULL,NULL
157126,Angelfish,Sea Life,NULL,NULL
53922,Angler,Fishing,NULL,NULL
53918,Angler,Leisure Activities,NULL,NULL
53925,Angler,Outdoors,NULL,NULL
53920,Angler,Person,NULL,NULL
53916,Angler,Water,NULL,NULL
23652,Angora,Animal,NULL,NULL
23644,Angora,Cat,NULL,NULL
23646,Angora,Mammal,NULL,NULL
23649,Angora,Pet,NULL,NULL
10663,Angus,Animal,NULL,NULL
10657,Angus,Bull,NULL,NULL
10659,Angus,Cattle,NULL,NULL
10661,Angus,Mammal,NULL,NULL
299088,Anhinga,Animal,NULL,NULL
299086,Anhinga,Bird,NULL,NULL
51779,Anise,Plant,NULL,NULL
258397,Anklet,Accessories,NULL,NULL
258394,Anklet,Jewelry,NULL,NULL
258391,Anklet,Ornament,NULL,NULL
11016,Antelope,Animal,NULL,NULL
11008,Antelope,Mammal,NULL,NULL
11012,Antelope,Wildlife,NULL,NULL
203307,Antenna,Electrical Device,NULL,NULL
3683,Anther,Flower,NULL,NULL
3682,Anther,Plant,NULL,NULL
332132,Anthracite,Coal,NULL,NULL
30561,Anthurium,Flower,NULL,NULL
30562,Anthurium,Plant,NULL,NULL
18629,Anthus,Animal,NULL,NULL
18624,Anthus,Bird,NULL,NULL
10590,Antique Car,Car,NULL,NULL
10591,Antique Car,Transportation,NULL,NULL
10589,Antique Car,Vehicle,NULL,NULL
896,Anvil,Tool,NULL,NULL
3451,Apartment Building,Building,NULL,NULL
3450,Apartment Building,City,NULL,NULL
3452,Apartment Building,High Rise,NULL,NULL
3449,Apartment Building,Urban,NULL,NULL
38776,Ape,Animal,NULL,NULL
38779,Ape,Mammal,NULL,NULL
38773,Ape,Wildlife,NULL,NULL
67632,Aphid,Animal,NULL,NULL
67628,Aphid,Insect,NULL,NULL
67630,Aphid,Invertebrate,NULL,NULL
3548,Apiaceae,Flower,NULL,NULL
3547,Apiaceae,Plant,NULL,NULL
15038,Apidae,Animal,NULL,NULL
15040,Apidae,Bee,NULL,NULL
15044,Apidae,Insect,NULL,NULL
15042,Apidae,Invertebrate,NULL,NULL
36788,Appenzeller,Animal,NULL,NULL
36796,Appenzeller,Canine,NULL,NULL
36792,Appenzeller,Dog,NULL,NULL
36790,Appenzeller,Mammal,NULL,NULL
36794,Appenzeller,Pet,NULL,NULL
2213,Apple,Food,NULL,NULL
2211,Apple,Fruit,NULL,NULL
2212,Apple,Plant,NULL,NULL
63679,Apple Pie,Cake,NULL,NULL
63681,Apple Pie,Dessert,NULL,NULL
63683,Apple Pie,Food,NULL,NULL
63685,Apple Pie,Pie,NULL,NULL
7598,Apricot,Food,NULL,NULL
7596,Apricot,Fruit,NULL,NULL
7600,Apricot,Plant,NULL,NULL
7599,Apricot,Produce,NULL,NULL
289253,Aqua Scuba,Diving,NULL,NULL
289255,Aqua Scuba,Outdoors,NULL,NULL
289251,Aqua Scuba,Sport,NULL,NULL
289257,Aqua Scuba,Water,NULL,NULL
10734,Aquarium,Animal,NULL,NULL
10736,Aquarium,Sea Life,NULL,NULL
10738,Aquarium,Water,NULL,NULL
882,Aquatic,Water,NULL,NULL
15283,Aquilegia,Flower,NULL,NULL
15287,Aquilegia,Plant,NULL,NULL
1317,Araceae,Flower,NULL,NULL
1318,Araceae,Plant,NULL,NULL
3500,Arachnid,Animal,NULL,NULL
